"country","mes","cancelaciones_mensuales","personas_mensuales","reservas_mensuales","cancelaciones_acumuladas","personas_acumuladas","reservas_acumuladas","ratio_cancelaciones","region","country_name"
"KWT",2017-08-01,2,6,2,6,34,16,37.5,"Africa","Kuwait"
"LBN",2017-08-01,1,3,3,9,58,31,29,"Africa","Lebanon"
"LTU",2017-08-01,0,3,1,7,158,81,8.6,"Europe","Lithuania"
"LUX",2017-08-01,9,57,26,109,618,285,38.2,"Europe","Luxembourg"
"LVA",2017-08-01,1,4,1,9,112,55,16.4,"Europe","Latvia"
"MAR",2017-08-01,24,86,33,109,571,256,42.6,"Africa","Morocco"
"MEX",2017-08-01,0,21,12,10,159,84,11.9,"Americas","Mexico"
"MOZ",2017-08-01,2,5,2,19,124,66,28.8,"Africa","Mozambique"
"MYS",2017-08-01,0,3,1,3,57,28,10.7,"Asia","Malaysia"
"MYT",2017-08-01,1,4,1,2,6,2,100,"Other","Mayotte"
"NLD",2017-08-01,19,234,94,387,4227,2099,18.4,"Europe","Netherlands"
"NOR",2017-08-01,8,55,24,181,1322,606,29.9,"Europe","Norway"
"NZL",2017-08-01,0,2,1,6,142,74,8.1,"Asia","New Zealand"
"OMN",2017-08-01,0,2,1,4,41,18,22.2,"Africa","Oman"
"PAK",2017-08-01,0,2,1,9,29,14,64.3,"Asia","Pakistan"
"PHL",2017-08-01,9,32,15,25,87,40,62.5,"Asia","Philippines"
"POL",2017-08-01,5,60,25,213,1948,909,23.4,"Europe","Poland"
"QAT",2017-08-01,0,2,1,11,33,14,78.6,"Africa","Qatar"
"ROU",2017-08-01,12,84,34,134,1058,500,26.8,"Europe","Romania"
"RUS",2017-08-01,25,83,37,239,1295,623,38.4,"Europe","Russia"
"SAU",2017-08-01,2,6,2,33,98,48,68.8,"Africa","Saudi Arabia"
"SVK",2017-08-01,0,2,1,24,131,65,36.9,"Europe","Slovakia"
"SWE",2017-08-01,9,93,41,227,2051,1016,22.3,"Europe","Sweden"
"THA",2017-08-01,1,1,1,18,128,59,30.5,"Asia","Thailand"
"TUN",2017-08-01,1,4,1,19,80,38,50,"Africa","Tunisia"
"TUR",2017-08-01,3,19,9,102,482,248,41.1,"Europe","Turkey"
"URY",2017-08-01,2,5,2,9,71,32,28.1,"Americas","Uruguay"
"USA",2017-08-01,64,416,182,500,4306,2085,24,"Americas","United States"
"VNM",2017-08-01,0,3,1,2,17,8,25,"Asia","Vietnam"
"ZAF",2017-08-01,3,13,7,31,160,80,38.8,"Africa","South Africa"
"ZWE",2017-08-01,2,4,2,2,8,4,50,"Africa","Zimbabwe"
